0	1
2	3
4	5
6	7
8	1
9	1
10	11
9	12
13	14
15	3
16	1
17	18
10	4
19	3
20	1
10	9
21	22
16	2
10	23
24	25
26	17
27	5
11	28
26	29
27	29
30	1
6	1
4	28
15	31
32	14
33	34
35	12
16	15
36	3
23	26
37	17
38	9
29	17
30	25
11	17
39	16
18	31
7	1
0	18
16	40
41	1
16	36
42	12
29	9
43	1
44	18
45	0
9	46
37	1
30	12
47	8
45	18
12	1
17	1
34	1
23	4
25	1
5	28
11	5
33	48
23	49
47	50
21	9
34	25
12	18
4	17
39	12
51	8
16	3
2	15
4	29
28	49
23	5
33	25
17	45
22	52
11	48
27	28
17	0
33	21
35	18
48	25
49	17
53	19
2	53
33	30
54	1
23	37
37	27
17	24
27	49
23	28
15	19
17	44
27	11
33	22
55	17
27	26
52	1
30	52
49	1
2	19
4	37
49	12
22	1
56	29
37	11
57	25
12	25
12	16
45	44
22	48
58	14
59	14
3	31
28	9
4	9
11	29
15	36
47	51
48	52
53	36
34	12
55	0
26	49
30	9
1	60
18	52
17	31
5	26
18	25
25	52
61	9
47	7
28	26
23	27
21	30
17	25
11	26
49	9
21	25
4	27
62	18
47	6
1	63
64	44
34	52
62	1
21	12
37	28
53	3
26	9
5	29
65	1
21	34
36	31
11	49
17	48
2	31
51	50
64	24
46	66
5	9
29	48
25	16
67	14
50	1
16	19
5	49
63	14
68	14
27	9
34	9
10	49
49	29
21	1
12	52
22	49
22	25
22	30
35	1
8	12
37	29
11	9
37	49
4	26
69	52
23	11
54	42
23	9
6	50
70	42
18	1
57	48
6	8
17	9
37	5
5	17
44	0
71	14
22	12
38	61
72	16
51	1
51	6
19	31
42	1
33	9
30	48
73	25
8	16
2	36
22	34
21	48
39	1
50	7
53	31
52	16
1	14
69	0
19	36
9	25
34	48
50	8
16	53
47	1
60	63
62	12
15	53
60	14
16	31
65	12
10	37
10	27
37	26
7	8
27	17
4	11
40	1
1	74
75	1
39	72
37	9
4	49
44	1
76	44
57	52
34	30
51	7
